"No.","Time","Source","Destination","Protocol","Length","Info"
"161","0.881624","Cisco_55:d9:91","d2:d8:cd:f1:a7:1a","802.11","257","Probe Response, SN=283, FN=0, Flags=....R...C, BI=102, SSID=""Guest"""
"162","0.882003","Cisco_55:d9:91","d2:d8:cd:f1:a7:1a","802.11","257","Probe Response, SN=283, FN=0, Flags=....R...C, BI=102, SSID=""Guest"""
"163","0.884799","Cisco_55:d9:91","Broadcast","802.11","263","Beacon frame, SN=2916, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"164","0.894213","Cisco_44:42:01","Broadcast","802.11","263","Beacon frame, SN=2850, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"165","0.898366","Cisco_ea:55:44","Broadcast","802.11","86","Beacon frame, SN=1649, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"166","0.914772","Cisco_79:14:51","Broadcast","802.11","263","Beacon frame, SN=2878, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"167","0.930516","Cisco_ea:55:41","Broadcast","802.11","263","Beacon frame, SN=1650, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"168","0.940184","Cisco_55:d9:90","Broadcast","802.11","313","Beacon frame, SN=2917, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"169","0.949567","Cisco_44:42:00","Broadcast","802.11","313","Beacon frame, SN=2851, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"170","0.952397","Cisco_55:d9:94","Broadcast","802.11","275","Beacon frame, SN=2918, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"171","0.961916","Cisco_44:42:04","Broadcast","802.11","275","Beacon frame, SN=2852, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"172","0.970093","Cisco_79:14:50","Broadcast","802.11","198","Beacon frame, SN=2879, FN=0, Flags=........C, BI=102, SSID=""eduroam""[Malformed Packet: length of contained item exceeds length of containing item]"
"173","0.982369","Cisco_79:14:54","Broadcast","802.11","275","Beacon frame, SN=2880, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"174","0.985916","Cisco_ea:55:40","Broadcast","802.11","313","Beacon frame, SN=1651, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"175","0.989243","Cisco_55:d9:91","Broadcast","802.11","263","Beacon frame, SN=2919, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"176","0.998105","Cisco_ea:55:44","Broadcast","802.11","275","Beacon frame, SN=1652, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"177","0.998683","Cisco_44:42:01","Broadcast","802.11","263","Beacon frame, SN=2853, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"178","1.035116","Cisco_ea:55:41","Broadcast","802.11","263","Beacon frame, SN=1653, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"179","1.044594","Cisco_55:d9:90","Broadcast","802.11","313","Beacon frame, SN=2920, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
